order_id,user_id,order_date,total_amount,payment_method,status
50001,1,2026/1/15,7999,支付宝,已完成
50002,2,2026/1/20,5999,微信支付,已完成
50003,3,2026/2/1,399,信用卡,已完成
50004,4,2026/2/10,9499,支付宝,已取消
50005,5,2026/2/18,5499,微信支付,已完成
50006,1,2026/2/25,2990,支付宝,已完成
50007,6,2026/3/5,199,微信支付,已完成
50008,2,2026/3/12,59.9,支付宝,已取消
50009,7,2026/3/18,6799,微信支付,已完成
50010,8,2026/3/25,4999,支付宝,已完成
50011,9,2026/4/1,3299,信用卡,已完成
50012,10,2026/4/8,8999,微信支付,已完成
50013,11,2026/4/12,128,支付宝,已完成
50014,12,2026/4/18,79,微信支付,已完成
50015,13,2026/4/20,199,支付宝,已完成
