review_id,user_id,product_id,rating,comment,review_date
1,1,101,5,手机很好用，速度快，拍照清晰,2024-01-20
2,2,102,4,屏幕不错，但续航一般,2024-01-25
3,3,105,5,电饭煲煮饭很香，操作简单,2024-02-05
4,4,103,3,电脑性能强，但发热较大,2024-02-15
5,5,104,4,性价比高，办公够用,2024-02-22
6,1,108,5,吸尘器吸力大，家里干净多了,2024-03-01
7,6,106,4,不粘效果不错，但锅底有点薄,2024-03-10
8,2,107,2,洗发水味道不喜欢，效果一般,2024-03-18
9,7,109,5,画画做笔记神器，非常流畅,2024-03-25
10,8,110,4,拍照好，充电快，但系统广告多,2024-04-01
11,9,111,5,容量大，制冷效果好，静音,2024-04-08
12,10,112,5,画质惊艳，操作流畅，值得购买,2024-04-15
13,11,113,5,科幻经典，包装精美,2024-04-18
14,12,114,4,入门不错，例子丰富，适合新手,2024-04-22
15,13,115,3,尺码偏大，面料一般,2024-04-25
