product_id,product_name,category_id,brand,price,launch_date
101,iPhone 15 Pro,2,Apple,7999,2023/9/15
102,三星 Galaxy S24,2,Samsung,5999,2024/1/20
103,MacBook Air M2,3,Apple,9499,2022/7/10
104,联想小新Pro16,3,Lenovo,5499,2023/3/5
105,九阳电饭煲,5,Joyoung,399,2023/5/20
106,苏泊尔不粘锅,5,SUPOR,199,2023/8/12
107,海飞丝洗发水,6,Head&Shoulders,59.9,2023/11/1
108,戴森吸尘器,4,Dyson,2990,2024/2/18
109,iPad Pro 11,7,Apple,6799,2023/10/20
110,小米13 Pro,2,Xiaomi,4999,2023/12/1
111,海尔双开门冰箱,9,Haier,3299,2023/6/10
112,索尼65寸电视,10,Sony,8999,2023/9/1
113,三体全集,12,重庆出版社,128,2022/5/1
114,Python编程入门,13,机械工业出版社,79,2023/3/15
115,男士休闲衬衫,15,Uniqlo,199,2023/7/20
